dataset,study,n_estimators,max_depth,test_accuracy,oob_accuracy
breast_cancer,n_estimators,197,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,198,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,199,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,200,,0.956140350877193,0.9582417582417583
breast_cancer,max_depth,100,1.0,0.9298245614035088,
breast_cancer,max_depth,100,2.0,0.9473684210526315,
breast_cancer,max_depth,100,3.0,0.956140350877193,
breast_cancer,max_depth,100,4.0,0.9473684210526315,
breast_cancer,max_depth,100,5.0,0.956140350877193,
breast_cancer,max_depth,100,6.0,0.956140350877193,
breast_cancer,max_depth,100,7.0,0.956140350877193,
breast_cancer,max_depth,100,8.0,0.956140350877193,
breast_cancer,max_depth,100,9.0,0.956140350877193,
breast_cancer,max_depth,100,10.0,0.956140350877193,
breast_cancer,max_depth,100,11.0,0.956140350877193,
breast_cancer,max_depth,100,12.0,0.956140350877193,
breast_cancer,max_depth,100,13.0,0.956140350877193,
breast_cancer,max_depth,100,14.0,0.956140350877193,
breast_cancer,max_depth,100,15.0,0.956140350877193,
breast_cancer,max_depth,100,16.0,0.956140350877193,
breast_cancer,max_depth,100,17.0,0.956140350877193,
breast_cancer,max_depth,100,18.0,0.956140350877193,
breast_cancer,max_depth,100,19.0,0.956140350877193,
breast_cancer,max_depth,100,20.0,0.956140350877193,
adult,n_estimators,1,12.0,0.8333333333333334,0.8131743327654741
adult,n_estimators,2,12.0,0.8208333333333333,0.8193103448275862
adult,n_estimators,3,12.0,0.8433333333333334,0.8187361419068736
adult,n_estimators,4,12.0,0.8475,0.8173504695996046
adult,n_estimators,5,12.0,0.8433333333333334,0.8213789912077741
adult,n_estimators,6,12.0,0.8466666666666667,0.8237386085796844
adult,n_estimators,7,12.0,0.8483333333333334,0.8231852654387866
adult,n_estimators,8,12.0,0.845,0.8214667521915758
adult,n_estimators,9,12.0,0.8483333333333334,0.8274476633537746
adult,n_estimators,10,12.0,0.8483333333333334,0.8258675078864354
adult,n_estimators,11,12.0,0.8525,0.8282002933165724
adult,n_estimators,12,12.0,0.8483333333333334,0.8307210031347962
adult,n_estimators,13,12.0,0.85,0.8291918980998121
adult,n_estimators,14,12.0,0.845,0.8328115216030056
