dataset,n_estimators,train_error,test_error
adult,102,0.15041666666666667,0.15333333333333332
adult,103,0.151875,0.15
adult,104,0.15166666666666667,0.15083333333333335
adult,105,0.15083333333333335,0.1525
adult,106,0.15145833333333333,0.1475
adult,107,0.15083333333333335,0.1525
adult,108,0.15125,0.1475
adult,109,0.15145833333333333,0.1475
adult,110,0.15125,0.14666666666666667
adult,111,0.15083333333333335,0.1475
adult,112,0.15125,0.14666666666666667
adult,113,0.15145833333333333,0.1475
adult,114,0.15104166666666666,0.15166666666666667
adult,115,0.15145833333333333,0.14666666666666667
adult,116,0.15020833333333333,0.14833333333333334
adult,117,0.15083333333333335,0.15083333333333335
adult,118,0.150625,0.14666666666666667
adult,119,0.153125,0.1525
adult,120,0.14979166666666666,0.15166666666666667
adult,121,0.15229166666666666,0.14916666666666667
adult,122,0.151875,0.15166666666666667
adult,123,0.15333333333333332,0.14916666666666667
adult,124,0.151875,0.15166666666666667
adult,125,0.15270833333333333,0.14916666666666667
adult,126,0.1525,0.14833333333333334
adult,127,0.15166666666666667,0.15083333333333335
adult,128,0.151875,0.14916666666666667
adult,129,0.15166666666666667,0.15083333333333335
adult,130,0.151875,0.14916666666666667
adult,131,0.15166666666666667,0.15083333333333335
adult,132,0.151875,0.14916666666666667
adult,133,0.15166666666666667,0.15083333333333335
adult,134,0.151875,0.14916666666666667
adult,135,0.15166666666666667,0.15083333333333335
adult,136,0.151875,0.14916666666666667
adult,137,0.15166666666666667,0.15083333333333335
adult,138,0.151875,0.14916666666666667
adult,139,0.15208333333333332,0.15083333333333335
adult,140,0.14958333333333335,0.15166666666666667
adult,141,0.15166666666666667,0.15083333333333335
adult,142,0.150625,0.15
adult,143,0.15083333333333335,0.15083333333333335
adult,144,0.150625,0.15
adult,145,0.15083333333333335,0.15083333333333335
adult,146,0.150625,0.15
adult,147,0.15083333333333335,0.15083333333333335
adult,148,0.150625,0.15
adult,149,0.15083333333333335,0.15083333333333335
adult,150,0.14979166666666666,0.15083333333333335
adult,151,0.150625,0.15083333333333335
adult,152,0.14979166666666666,0.15083333333333335
adult,153,0.150625,0.15083333333333335
adult,154,0.15041666666666667,0.15
adult,155,0.15208333333333332,0.15083333333333335
adult,156,0.14979166666666666,0.15083333333333335
adult,157,0.151875,0.15083333333333335
adult,158,0.149375,0.15083333333333335
adult,159,0.150625,0.14916666666666667
adult,160,0.15,0.15
adult,161,0.151875,0.15083333333333335
adult,162,0.15,0.15083333333333335
adult,163,0.15166666666666667,0.1475
adult,164,0.15041666666666667,0.14833333333333334
adult,165,0.14958333333333335,0.14583333333333334
adult,166,0.15,0.14916666666666667
adult,167,0.15020833333333333,0.15
adult,168,0.15,0.14916666666666667
adult,169,0.15125,0.15
adult,170,0.15,0.14833333333333334
adult,171,0.15104166666666666,0.14916666666666667
adult,172,0.15,0.14833333333333334
adult,173,0.15125,0.14916666666666667
adult,174,0.15,0.14833333333333334
adult,175,0.15104166666666666,0.14833333333333334
adult,176,0.15,0.14833333333333334
adult,177,0.149375,0.145
adult,178,0.14979166666666666,0.14916666666666667
adult,179,0.149375,0.14916666666666667
adult,180,0.150625,0.1475
adult,181,0.14916666666666667,0.14833333333333334
adult,182,0.15,0.14833333333333334
adult,183,0.14916666666666667,0.14583333333333334
adult,184,0.149375,0.14666666666666667
adult,185,0.14916666666666667,0.1475
adult,186,0.14875,0.14583333333333334
adult,187,0.14958333333333335,0.14416666666666667
adult,188,0.15125,0.14666666666666667
adult,189,0.15125,0.14166666666666666
adult,190,0.15,0.14333333333333334
adult,191,0.14979166666666666,0.14333333333333334
adult,192,0.15166666666666667,0.1425
adult,193,0.14958333333333335,0.14416666666666667
adult,194,0.15125,0.1425
adult,195,0.14895833333333333,0.145
adult,196,0.15145833333333333,0.14416666666666667
adult,197,0.14895833333333333,0.145
adult,198,0.15145833333333333,0.14416666666666667
adult,199,0.14875,0.145
adult,200,0.15145833333333333,0.14416666666666667
covertype,1,0.36604166666666665,0.3616666666666667
covertype,2,0.36604166666666665,0.3616666666666667
covertype,3,0.36604166666666665,0.3616666666666667
covertype,4,0.36604166666666665,0.3616666666666667
covertype,5,0.36604166666666665,0.3616666666666667
covertype,6,0.36604166666666665,0.3616666666666667
covertype,7,0.36604166666666665,0.3616666666666667
covertype,8,0.36604166666666665,0.3616666666666667
covertype,9,0.36604166666666665,0.3616666666666667
covertype,10,0.368125,0.36
covertype,11,0.34041666666666665,0.32416666666666666
covertype,12,0.34041666666666665,0.32416666666666666
covertype,13,0.34041666666666665,0.32416666666666666
covertype,14,0.365,0.355
covertype,15,0.365,0.355
covertype,16,0.331875,0.32083333333333336
covertype,17,0.365,0.355
covertype,18,0.365,0.355
covertype,19,0.365,0.355
covertype,20,0.35354166666666664,0.3541666666666667
covertype,21,0.35354166666666664,0.3541666666666667
covertype,22,0.365,0.35833333333333334
covertype,23,0.38458333333333333,0.38083333333333336
covertype,24,0.363125,0.365
covertype,25,0.363125,0.365
covertype,26,0.376875,0.365
covertype,27,0.35354166666666664,0.355
covertype,28,0.3885416666666667,0.4
covertype,29,0.3885416666666667,0.40166666666666667
covertype,30,0.396875,0.4008333333333333
covertype,31,0.41854166666666665,0.41833333333333333
covertype,32,0.37895833333333334,0.38
covertype,33,0.394375,0.4058333333333333
covertype,34,0.405,0.41833333333333333
covertype,35,0.4175,0.4166666666666667
covertype,36,0.41125,0.4091666666666667
covertype,37,0.36791666666666667,0.3616666666666667
covertype,38,0.39770833333333333,0.4058333333333333
covertype,39,0.40375,0.3983333333333333
covertype,40,0.4066666666666667,0.39416666666666667
covertype,41,0.4535416666666667,0.44166666666666665
covertype,42,0.41479166666666667,0.4083333333333333
covertype,43,0.38333333333333336,0.3825
covertype,44,0.38625,0.3883333333333333
covertype,45,0.389375,0.3883333333333333
covertype,46,0.39958333333333335,0.39416666666666667
covertype,47,0.41125,0.41333333333333333
covertype,48,0.3975,0.39416666666666667
covertype,49,0.379375,0.36916666666666664
covertype,50,0.3960416666666667,0.3908333333333333
covertype,51,0.3960416666666667,0.3908333333333333
covertype,52,0.384375,0.38
covertype,53,0.3908333333333333,0.4041666666666667
covertype,54,0.3725,0.36833333333333335
covertype,55,0.383125,0.3883333333333333
covertype,56,0.38166666666666665,0.375
covertype,57,0.38208333333333333,0.375
covertype,58,0.36083333333333334,0.35333333333333333
covertype,59,0.38458333333333333,0.37583333333333335
covertype,60,0.39166666666666666,0.3983333333333333
covertype,61,0.39208333333333334,0.3983333333333333
covertype,62,0.379375,0.3825
covertype,63,0.36354166666666665,0.36083333333333334
covertype,64,0.37583333333333335,0.3775
covertype,65,0.38479166666666664,0.38666666666666666
