dataset,model,round,test_error
breast_cancer,adaboost_samme_r,88,0.043859649122807015
breast_cancer,adaboost_samme_r,89,0.043859649122807015
breast_cancer,adaboost_samme_r,90,0.043859649122807015
breast_cancer,adaboost_samme_r,91,0.043859649122807015
breast_cancer,adaboost_samme_r,92,0.043859649122807015
breast_cancer,adaboost_samme_r,93,0.043859649122807015
breast_cancer,adaboost_samme_r,94,0.043859649122807015
breast_cancer,adaboost_samme_r,95,0.043859649122807015
breast_cancer,adaboost_samme_r,96,0.043859649122807015
breast_cancer,adaboost_samme_r,97,0.043859649122807015
breast_cancer,adaboost_samme_r,98,0.043859649122807015
breast_cancer,adaboost_samme_r,99,0.043859649122807015
breast_cancer,adaboost_samme_r,100,0.043859649122807015
breast_cancer,adaboost_samme_r,101,0.043859649122807015
breast_cancer,adaboost_samme_r,102,0.043859649122807015
breast_cancer,adaboost_samme_r,103,0.043859649122807015
breast_cancer,adaboost_samme_r,104,0.043859649122807015
breast_cancer,adaboost_samme_r,105,0.043859649122807015
breast_cancer,adaboost_samme_r,106,0.043859649122807015
breast_cancer,adaboost_samme_r,107,0.043859649122807015
breast_cancer,adaboost_samme_r,108,0.043859649122807015
breast_cancer,adaboost_samme_r,109,0.043859649122807015
breast_cancer,adaboost_samme_r,110,0.043859649122807015
breast_cancer,adaboost_samme_r,111,0.043859649122807015
breast_cancer,adaboost_samme_r,112,0.043859649122807015
breast_cancer,adaboost_samme_r,113,0.043859649122807015
breast_cancer,adaboost_samme_r,114,0.043859649122807015
breast_cancer,adaboost_samme_r,115,0.043859649122807015
breast_cancer,adaboost_samme_r,116,0.043859649122807015
breast_cancer,adaboost_samme_r,117,0.043859649122807015
breast_cancer,adaboost_samme_r,118,0.043859649122807015
breast_cancer,adaboost_samme_r,119,0.043859649122807015
breast_cancer,adaboost_samme_r,120,0.043859649122807015
breast_cancer,adaboost_samme_r,121,0.043859649122807015
breast_cancer,adaboost_samme_r,122,0.043859649122807015
breast_cancer,adaboost_samme_r,123,0.043859649122807015
breast_cancer,adaboost_samme_r,124,0.043859649122807015
breast_cancer,adaboost_samme_r,125,0.043859649122807015
breast_cancer,adaboost_samme_r,126,0.043859649122807015
breast_cancer,adaboost_samme_r,127,0.043859649122807015
breast_cancer,adaboost_samme_r,128,0.043859649122807015
breast_cancer,adaboost_samme_r,129,0.043859649122807015
breast_cancer,adaboost_samme_r,130,0.043859649122807015
breast_cancer,adaboost_samme_r,131,0.043859649122807015
breast_cancer,adaboost_samme_r,132,0.043859649122807015
breast_cancer,adaboost_samme_r,133,0.043859649122807015
breast_cancer,adaboost_samme_r,134,0.043859649122807015
breast_cancer,adaboost_samme_r,135,0.043859649122807015
breast_cancer,adaboost_samme_r,136,0.043859649122807015
breast_cancer,adaboost_samme_r,137,0.03508771929824561
breast_cancer,adaboost_samme_r,138,0.043859649122807015
breast_cancer,adaboost_samme_r,139,0.043859649122807015
breast_cancer,adaboost_samme_r,140,0.043859649122807015
breast_cancer,adaboost_samme_r,141,0.043859649122807015
breast_cancer,adaboost_samme_r,142,0.043859649122807015
breast_cancer,adaboost_samme_r,143,0.043859649122807015
breast_cancer,adaboost_samme_r,144,0.043859649122807015
breast_cancer,adaboost_samme_r,145,0.043859649122807015
breast_cancer,adaboost_samme_r,146,0.043859649122807015
breast_cancer,adaboost_samme_r,147,0.043859649122807015
breast_cancer,adaboost_samme_r,148,0.043859649122807015
breast_cancer,adaboost_samme_r,149,0.043859649122807015
breast_cancer,adaboost_samme_r,150,0.043859649122807015
breast_cancer,adaboost_samme_r,151,0.043859649122807015
breast_cancer,adaboost_samme_r,152,0.043859649122807015
breast_cancer,adaboost_samme_r,153,0.043859649122807015
breast_cancer,adaboost_samme_r,154,0.043859649122807015
breast_cancer,adaboost_samme_r,155,0.043859649122807015
breast_cancer,adaboost_samme_r,156,0.043859649122807015
breast_cancer,adaboost_samme_r,157,0.043859649122807015
breast_cancer,adaboost_samme_r,158,0.043859649122807015
breast_cancer,adaboost_samme_r,159,0.043859649122807015
breast_cancer,adaboost_samme_r,160,0.043859649122807015
breast_cancer,adaboost_samme_r,161,0.043859649122807015
breast_cancer,adaboost_samme_r,162,0.043859649122807015
breast_cancer,adaboost_samme_r,163,0.043859649122807015
breast_cancer,adaboost_samme_r,164,0.043859649122807015
breast_cancer,adaboost_samme_r,165,0.043859649122807015
breast_cancer,adaboost_samme_r,166,0.043859649122807015
breast_cancer,adaboost_samme_r,167,0.043859649122807015
breast_cancer,adaboost_samme_r,168,0.043859649122807015
breast_cancer,adaboost_samme_r,169,0.043859649122807015
breast_cancer,adaboost_samme_r,170,0.043859649122807015
breast_cancer,adaboost_samme_r,171,0.043859649122807015
breast_cancer,adaboost_samme_r,172,0.043859649122807015
breast_cancer,adaboost_samme_r,173,0.043859649122807015
breast_cancer,adaboost_samme_r,174,0.043859649122807015
breast_cancer,adaboost_samme_r,175,0.043859649122807015
breast_cancer,adaboost_samme_r,176,0.043859649122807015
breast_cancer,adaboost_samme_r,177,0.043859649122807015
breast_cancer,adaboost_samme_r,178,0.043859649122807015
breast_cancer,adaboost_samme_r,179,0.043859649122807015
breast_cancer,adaboost_samme_r,180,0.043859649122807015
breast_cancer,adaboost_samme_r,181,0.043859649122807015
breast_cancer,adaboost_samme_r,182,0.043859649122807015
breast_cancer,adaboost_samme_r,183,0.043859649122807015
breast_cancer,adaboost_samme_r,184,0.043859649122807015
breast_cancer,adaboost_samme_r,185,0.043859649122807015
breast_cancer,adaboost_samme_r,186,0.043859649122807015
breast_cancer,adaboost_samme_r,187,0.043859649122807015
breast_cancer,adaboost_samme_r,188,0.043859649122807015
breast_cancer,adaboost_samme_r,189,0.043859649122807015
breast_cancer,adaboost_samme_r,190,0.043859649122807015
breast_cancer,adaboost_samme_r,191,0.043859649122807015
breast_cancer,adaboost_samme_r,192,0.03508771929824561
breast_cancer,adaboost_samme_r,193,0.03508771929824561
breast_cancer,adaboost_samme_r,194,0.03508771929824561
breast_cancer,adaboost_samme_r,195,0.03508771929824561
